shipment_id,origin_hub,destination_hub,distance_km,duration_minutes,road_type,weather_condition,traffic_level,shipment_priority,weight_kg,departure_hour,day_of_week,historical_delay_minutes,current_risk_level,rerouted_before,destination_delay_rate,risk_level
SHIP-11626,Bhopal Central Hub,Indore Delivery Hub,516.9,845,city_road,Rain,moderate,standard,43.16,18,Friday,39,high,1,0.3573,high
SHIP-11627,Delhi Warehouse Central,Agra Transit Hub,214.09,372,city_road,Cloudy,moderate,standard,313.67,4,Tuesday,30,high,0,0.0901,medium
SHIP-11628,Kota Transit Hub,Jaipur Warehouse,69.99,68,state_road,Partly Cloudy,moderate,standard,125.78,6,Thursday,18,low,0,0.6308,low
SHIP-11629,Indore Delivery Hub,Gwalior Transit Hub,158.83,107,highway,Rain,high,express,351.13,6,Monday,64,high,0,0.5791,critical
SHIP-11630,Jaipur Warehouse,Bhopal Central Hub,939.18,825,highway,Rain,moderate,standard,450.19,12,Tuesday,52,high,0,0.2134,medium
SHIP-11631,Bhopal Central Hub,Delhi Warehouse Central,104.22,180,city_road,Clear,low,standard,264.4,19,Friday,9,low,1,0.2399,low
SHIP-11632,Jaipur Warehouse,Ujjain Hub,229.63,209,state_road,Partly Cloudy,high,standard,299.97,16,Tuesday,46,medium,0,0.1976,medium
SHIP-11633,Agra Transit Hub,Delhi Warehouse Central,388.55,242,expressway,Cloudy,high,express,257.69,4,Sunday,41,high,0,0.1106,high
SHIP-11634,Delhi Warehouse Central,Jaipur Warehouse,781.07,948,city_road,Clear,very_high,standard,408.9,13,Monday,63,medium,1,0.1446,high
SHIP-11635,Kota Transit Hub,Agra Transit Hub,572.09,317,expressway,Thunderstorm,low,express,121.62,10,Wednesday,88,high,0,0.2768,high
SHIP-11636,Kota Transit Hub,Gwalior Transit Hub,477.78,237,expressway,Cloudy,high,standard,201.37,19,Friday,42,high,1,0.1726,high
SHIP-11637,Agra Transit Hub,Jaipur Warehouse,599.06,641,state_road,Clear,high,standard,447.62,18,Wednesday,36,medium,0,0.2639,medium
SHIP-11638,Agra Transit Hub,Jaipur Warehouse,526.59,506,state_road,Clear,moderate,standard,362.1,22,Tuesday,24,medium,0,0.3211,medium
SHIP-11639,Delhi Warehouse Central,Jhansi Hub,920.32,698,highway,Fog,moderate,standard,160.72,3,Saturday,52,high,0,0.4161,high
SHIP-11640,Indore Delivery Hub,Ujjain Hub,723.21,634,highway,Rain,very_high,critical,416.48,21,Saturday,65,high,0,0.2094,critical
SHIP-11641,Indore Delivery Hub,Gwalior Transit Hub,604.68,667,state_road,Rain,very_high,critical,120.17,16,Thursday,87,high,0,0.1712,critical
SHIP-11642,Delhi Warehouse Central,Jhansi Hub,799.64,1298,city_road,Clear,moderate,standard,317.46,16,Saturday,21,low,0,0.2399,low
SHIP-11643,Indore Delivery Hub,Kota Transit Hub,904.84,616,highway,Heavy Rain,moderate,standard,478.27,2,Friday,66,critical,0,0.0648,critical
SHIP-11644,Ujjain Hub,Kota Transit Hub,814.14,465,expressway,Partly Cloudy,high,critical,287.78,13,Tuesday,41,medium,1,0.4283,high
SHIP-11645,Jhansi Hub,Jaipur Warehouse,682.11,1208,city_road,Light Rain,low,standard,399.93,20,Sunday,18,medium,0,0.4771,low
SHIP-11646,Delhi Warehouse Central,Jhansi Hub,713.89,404,expressway,Fog,low,standard,367.98,5,Sunday,51,high,0,0.3181,high
SHIP-11647,Delhi Warehouse Central,Ujjain Hub,169.02,136,state_road,Clear,very_high,standard,432.99,9,Friday,40,medium,0,0.2925,medium
SHIP-11648,Gwalior Transit Hub,Bhopal Central Hub,802.58,429,expressway,Cloudy,high,express,484.41,16,Monday,50,medium,0,0.261,high
SHIP-11649,Bhopal Central Hub,Jaipur Warehouse,957.54,1646,city_road,Clear,very_high,standard,12.14,1,Tuesday,67,high,0,0.3943,high
SHIP-11650,Bhopal Central Hub,Ujjain Hub,382.54,449,state_road,Cloudy,moderate,standard,14.91,11,Thursday,20,medium,0,0.2617,low
SHIP-11651,Ujjain Hub,Delhi Warehouse Central,591.33,947,city_road,Partly Cloudy,moderate,standard,297.62,23,Friday,24,medium,0,0.5992,medium
SHIP-11652,Agra Transit Hub,Kota Transit Hub,375.05,184,expressway,Thunderstorm,very_high,standard,477.17,20,Saturday,169,critical,0,0.5854,critical
SHIP-11653,Agra Transit Hub,Indore Delivery Hub,822.08,987,city_road,Partly Cloudy,moderate,standard,243.36,15,Thursday,28,low,0,0.2385,low
SHIP-11654,Jaipur Warehouse,Bhopal Central Hub,976.21,1018,state_road,Light Rain,high,critical,420.05,15,Thursday,51,medium,0,0.2201,high
SHIP-11655,Ujjain Hub,Kota Transit Hub,344.98,195,expressway,Heavy Rain,moderate,express,384.19,2,Monday,93,critical,0,0.2375,critical
SHIP-11656,Delhi Warehouse Central,Indore Delivery Hub,651.68,341,expressway,Fog,low,standard,249.63,17,Saturday,50,medium,1,0.2692,medium
SHIP-11657,Ujjain Hub,Agra Transit Hub,906.4,737,highway,Cloudy,low,standard,257.07,6,Wednesday,13,low,0,0.0834,low
SHIP-11658,Ujjain Hub,Agra Transit Hub,485.11,418,highway,Cloudy,moderate,standard,218.58,9,Tuesday,21,medium,0,0.3318,medium
SHIP-11659,Ujjain Hub,Jaipur Warehouse,251.97,443,city_road,Clear,moderate,standard,126.85,7,Wednesday,20,low,0,0.0436,low
SHIP-11660,Bhopal Central Hub,Jhansi Hub,246.62,197,highway,Clear,low,standard,429.5,17,Wednesday,9,low,0,0.2531,low
SHIP-11661,Ujjain Hub,Bhopal Central Hub,945.77,781,highway,Light Rain,moderate,critical,105.58,16,Monday,27,medium,0,0.2476,medium
SHIP-11662,Jhansi Hub,Bhopal Central Hub,607.05,421,highway,Clear,moderate,standard,453.55,2,Sunday,20,medium,0,0.3013,medium
SHIP-11663,Agra Transit Hub,Gwalior Transit Hub,274.84,231,highway,Partly Cloudy,high,standard,180.5,7,Thursday,42,medium,0,0.1925,medium
SHIP-11664,Jaipur Warehouse,Ujjain Hub,390.85,424,state_road,Clear,low,standard,14.22,19,Thursday,11,low,0,0.2721,low
SHIP-11665,Jhansi Hub,Indore Delivery Hub,126.56,106,state_road,Light Rain,high,standard,85.02,4,Tuesday,57,high,0,0.1744,high
SHIP-11666,Jaipur Warehouse,Agra Transit Hub,599.1,437,highway,Partly Cloudy,low,standard,444.02,19,Monday,14,low,0,0.3778,low
SHIP-11667,Gwalior Transit Hub,Delhi Warehouse Central,559.84,782,city_road,Clear,low,standard,65.09,11,Friday,7,low,0,0.2061,low
SHIP-11668,Jaipur Warehouse,Delhi Warehouse Central,403.09,425,state_road,Partly Cloudy,low,standard,369.65,5,Thursday,10,medium,0,0.3424,low
SHIP-11669,Agra Transit Hub,Jaipur Warehouse,137.97,100,highway,Cloudy,high,standard,92.22,22,Tuesday,29,high,0,0.2821,medium
SHIP-11670,Agra Transit Hub,Delhi Warehouse Central,378.47,438,state_road,Light Rain,low,critical,249.97,23,Friday,28,medium,1,0.3447,high
SHIP-11671,Ujjain Hub,Agra Transit Hub,431.32,209,expressway,Cloudy,low,standard,103.4,9,Saturday,10,low,0,0.1139,low
SHIP-11672,Kota Transit Hub,Jaipur Warehouse,148.13,154,state_road,Rain,low,standard,167.25,9,Wednesday,49,medium,0,0.3093,medium
SHIP-11673,Gwalior Transit Hub,Ujjain Hub,579.06,688,state_road,Clear,very_high,express,63.29,0,Monday,60,high,0,0.1246,high
SHIP-11674,Delhi Warehouse Central,Indore Delivery Hub,972.79,1373,city_road,Clear,very_high,standard,278.45,8,Sunday,41,medium,0,0.2879,medium
SHIP-11675,Indore Delivery Hub,Agra Transit Hub,53.46,51,state_road,Clear,low,standard,183.55,17,Friday,8,low,0,0.2596,low
SHIP-11676,Jaipur Warehouse,Jhansi Hub,513.26,623,city_road,Cloudy,moderate,standard,183.38,2,Thursday,27,high,0,0.0612,medium
SHIP-11677,Kota Transit Hub,Indore Delivery Hub,450.17,241,expressway,Light Rain,very_high,standard,20.25,0,Saturday,86,high,0,0.4739,high
SHIP-11678,Ujjain Hub,Agra Transit Hub,214.38,190,highway,Clear,low,standard,68.93,9,Tuesday,7,low,0,0.2433,low
SHIP-11679,Bhopal Central Hub,Jhansi Hub,745.1,911,city_road,Light Rain,low,express,354.06,2,Tuesday,17,medium,0,0.2132,medium
SHIP-11680,Delhi Warehouse Central,Bhopal Central Hub,706.54,577,state_road,Cloudy,low,standard,146.87,17,Saturday,10,low,0,0.3601,low
SHIP-11681,Kota Transit Hub,Ujjain Hub,644.7,685,state_road,Fog,very_high,standard,221.59,6,Monday,92,high,0,0.1351,high
SHIP-11682,Bhopal Central Hub,Agra Transit Hub,541.56,657,city_road,Light Rain,high,standard,381.77,6,Wednesday,53,medium,0,0.0349,medium
SHIP-11683,Gwalior Transit Hub,Jhansi Hub,290.64,203,expressway,Light Rain,low,standard,222.93,21,Thursday,18,medium,0,0.4285,low
SHIP-11684,Ujjain Hub,Jaipur Warehouse,374.69,229,highway,Cloudy,low,standard,113.58,9,Wednesday,19,low,0,0.2197,low
SHIP-11685,Delhi Warehouse Central,Jhansi Hub,268.99,288,state_road,Fog,very_high,standard,275.36,12,Monday,118,high,0,0.3762,high
SHIP-11686,Delhi Warehouse Central,Jhansi Hub,268.73,181,expressway,Fog,moderate,standard,400.8,3,Monday,55,high,0,0.135,high
SHIP-11687,Delhi Warehouse Central,Gwalior Transit Hub,365.15,273,highway,Cloudy,moderate,standard,300.22,11,Wednesday,22,medium,0,0.6522,medium
SHIP-11688,Gwalior Transit Hub,Jaipur Warehouse,989.67,648,highway,Cloudy,low,standard,210.67,2,Sunday,17,medium,0,0.1631,low
SHIP-11689,Jaipur Warehouse,Kota Transit Hub,354.96,370,state_road,Cloudy,high,standard,63.69,22,Friday,39,high,1,0.2703,high
SHIP-11690,Gwalior Transit Hub,Jhansi Hub,145.42,197,city_road,Partly Cloudy,low,standard,125.11,15,Friday,15,low,0,0.5114,low
SHIP-11691,Indore Delivery Hub,Ujjain Hub,395.12,373,state_road,Cloudy,high,standard,473.11,10,Monday,34,medium,0,0.0541,medium
SHIP-11692,Agra Transit Hub,Ujjain Hub,897.94,908,state_road,Partly Cloudy,low,standard,386.13,2,Friday,9,medium,1,0.4357,medium
SHIP-11693,Ujjain Hub,Jaipur Warehouse,941.0,1075,state_road,Thunderstorm,low,standard,44.7,7,Friday,79,high,0,0.216,high
SHIP-11694,Gwalior Transit Hub,Kota Transit Hub,855.37,598,expressway,Cloudy,moderate,express,3.75,6,Sunday,23,medium,0,0.3924,medium
SHIP-11695,Bhopal Central Hub,Delhi Warehouse Central,280.67,412,city_road,Heavy Rain,high,standard,88.53,13,Sunday,90,critical,0,0.1338,high
SHIP-11696,Indore Delivery Hub,Ujjain Hub,969.99,652,expressway,Cloudy,moderate,critical,472.0,1,Saturday,18,high,0,0.3939,high
SHIP-11697,Agra Transit Hub,Kota Transit Hub,386.19,457,state_road,Light Rain,low,critical,290.44,9,Tuesday,26,low,0,0.3169,medium
SHIP-11698,Jaipur Warehouse,Jhansi Hub,835.58,1494,city_road,Partly Cloudy,moderate,standard,419.49,2,Wednesday,18,medium,0,0.4002,medium
SHIP-11699,Bhopal Central Hub,Agra Transit Hub,358.97,266,highway,Light Rain,high,standard,233.15,23,Sunday,39,high,0,0.3966,high
SHIP-11700,Ujjain Hub,Delhi Warehouse Central,429.47,768,city_road,Cloudy,high,express,413.49,10,Tuesday,39,medium,0,0.4403,high
SHIP-11701,Bhopal Central Hub,Jhansi Hub,586.5,645,state_road,Partly Cloudy,moderate,standard,17.92,18,Tuesday,18,medium,0,0.3406,low
SHIP-11702,Agra Transit Hub,Gwalior Transit Hub,521.04,896,city_road,Heavy Rain,low,standard,213.98,7,Saturday,62,high,1,0.2499,high
SHIP-11703,Bhopal Central Hub,Gwalior Transit Hub,505.85,372,highway,Clear,moderate,critical,189.42,19,Monday,14,medium,0,0.3403,medium
SHIP-11704,Jhansi Hub,Bhopal Central Hub,319.84,212,highway,Cloudy,moderate,standard,490.79,4,Saturday,17,high,0,0.2273,medium
SHIP-11705,Kota Transit Hub,Agra Transit Hub,998.82,1503,city_road,Clear,very_high,standard,150.94,8,Monday,48,medium,0,0.3222,medium
SHIP-11706,Jaipur Warehouse,Jhansi Hub,126.33,89,highway,Heavy Rain,moderate,express,209.04,12,Monday,93,high,0,0.5472,critical
SHIP-11707,Agra Transit Hub,Kota Transit Hub,668.92,327,expressway,Partly Cloudy,moderate,standard,379.64,10,Tuesday,18,low,0,0.3744,low
SHIP-11708,Bhopal Central Hub,Kota Transit Hub,218.79,289,city_road,Light Rain,moderate,critical,440.48,1,Sunday,40,high,0,0.2292,high
SHIP-11709,Kota Transit Hub,Jaipur Warehouse,111.46,78,highway,Clear,moderate,standard,439.32,11,Thursday,14,low,0,0.2154,low
SHIP-11710,Kota Transit Hub,Bhopal Central Hub,667.42,454,highway,Partly Cloudy,moderate,standard,197.86,2,Tuesday,26,medium,0,0.6698,medium
SHIP-11711,Bhopal Central Hub,Gwalior Transit Hub,898.12,1119,city_road,Heavy Rain,moderate,express,474.33,14,Saturday,79,high,1,0.2409,critical
SHIP-11712,Ujjain Hub,Jhansi Hub,536.11,364,expressway,Clear,high,standard,327.1,0,Tuesday,37,high,0,0.129,medium
SHIP-11713,Jhansi Hub,Jaipur Warehouse,730.94,1049,city_road,Light Rain,moderate,standard,425.72,23,Saturday,42,high,0,0.6107,high
SHIP-11714,Gwalior Transit Hub,Delhi Warehouse Central,197.0,150,highway,Clear,low,standard,463.21,10,Tuesday,10,low,1,0.314,low
SHIP-11715,Jhansi Hub,Agra Transit Hub,873.81,1176,city_road,Partly Cloudy,low,standard,117.57,9,Friday,10,low,0,0.1887,low
SHIP-11716,Bhopal Central Hub,Agra Transit Hub,768.96,548,highway,Cloudy,high,critical,250.1,2,Saturday,29,high,1,0.4866,high
SHIP-11717,Jaipur Warehouse,Indore Delivery Hub,778.34,866,state_road,Cloudy,low,standard,294.31,13,Sunday,15,low,0,0.3802,low
SHIP-11718,Gwalior Transit Hub,Jaipur Warehouse,634.85,985,city_road,Light Rain,moderate,standard,401.42,20,Sunday,36,medium,0,0.2675,medium
SHIP-11719,Agra Transit Hub,Jaipur Warehouse,563.13,894,city_road,Light Rain,moderate,standard,201.18,15,Friday,35,medium,1,0.4954,medium
SHIP-11720,Jhansi Hub,Jaipur Warehouse,820.31,541,highway,Partly Cloudy,moderate,standard,106.01,8,Monday,20,low,0,0.5024,low
SHIP-11721,Bhopal Central Hub,Indore Delivery Hub,607.52,529,highway,Partly Cloudy,high,standard,371.87,13,Tuesday,44,medium,0,0.2442,medium
SHIP-11722,Jhansi Hub,Agra Transit Hub,523.31,428,highway,Clear,high,standard,296.57,20,Tuesday,28,medium,0,0.6135,medium
SHIP-11723,Gwalior Transit Hub,Jhansi Hub,758.76,631,highway,Rain,very_high,standard,449.25,0,Monday,78,critical,0,0.1224,critical
SHIP-11724,Indore Delivery Hub,Jhansi Hub,396.16,634,city_road,Heavy Rain,moderate,standard,327.86,0,Wednesday,62,critical,0,0.3538,critical
SHIP-11725,Jhansi Hub,Delhi Warehouse Central,309.22,270,highway,Clear,moderate,standard,9.4,3,Thursday,23,medium,0,0.1244,low
SHIP-11726,Agra Transit Hub,Indore Delivery Hub,134.86,196,city_road,Clear,low,express,483.36,22,Saturday,8,medium,0,0.5524,medium
SHIP-11727,Agra Transit Hub,Bhopal Central Hub,935.03,558,expressway,Clear,moderate,standard,296.96,22,Thursday,17,medium,0,0.1683,low
SHIP-11728,Delhi Warehouse Central,Gwalior Transit Hub,335.49,582,city_road,Fog,low,express,298.34,22,Wednesday,56,high,0,0.3934,high
SHIP-11729,Jhansi Hub,Gwalior Transit Hub,811.27,715,highway,Rain,high,express,454.72,21,Monday,83,high,0,0.2178,high
SHIP-11730,Ujjain Hub,Kota Transit Hub,150.87,114,highway,Partly Cloudy,moderate,standard,332.24,0,Wednesday,27,medium,0,0.2085,low
SHIP-11731,Kota Transit Hub,Agra Transit Hub,898.53,589,expressway,Cloudy,moderate,critical,240.18,18,Thursday,27,medium,0,0.1658,medium
SHIP-11732,Kota Transit Hub,Ujjain Hub,325.63,517,city_road,Partly Cloudy,low,standard,54.54,20,Sunday,11,low,1,0.1215,low
SHIP-11733,Kota Transit Hub,Gwalior Transit Hub,112.08,71,expressway,Cloudy,moderate,express,481.14,11,Wednesday,26,medium,0,0.0825,medium
SHIP-11734,Indore Delivery Hub,Kota Transit Hub,164.21,197,city_road,Light Rain,moderate,standard,40.17,19,Tuesday,29,medium,1,0.39,medium
SHIP-11735,Delhi Warehouse Central,Gwalior Transit Hub,642.73,431,highway,Partly Cloudy,moderate,standard,85.98,3,Friday,18,medium,0,0.2114,low
SHIP-11736,Indore Delivery Hub,Jaipur Warehouse,623.19,897,city_road,Heavy Rain,very_high,critical,409.95,8,Tuesday,104,critical,0,0.1766,critical
SHIP-11737,Jhansi Hub,Delhi Warehouse Central,506.09,419,highway,Cloudy,high,critical,245.71,6,Sunday,48,medium,0,0.2969,high
SHIP-11738,Jhansi Hub,Jaipur Warehouse,917.21,586,highway,Clear,low,standard,89.96,13,Thursday,12,low,0,0.4446,low
SHIP-11739,Jhansi Hub,Kota Transit Hub,763.96,818,state_road,Light Rain,moderate,standard,143.79,22,Saturday,35,high,1,0.3571,high
SHIP-11740,Jaipur Warehouse,Bhopal Central Hub,108.38,92,state_road,Cloudy,moderate,critical,497.01,2,Saturday,22,high,0,0.0904,high
SHIP-11741,Kota Transit Hub,Bhopal Central Hub,761.5,932,city_road,Thunderstorm,high,standard,292.43,14,Saturday,151,critical,0,0.0926,high
SHIP-11742,Jaipur Warehouse,Indore Delivery Hub,373.39,266,highway,Partly Cloudy,high,standard,201.41,10,Friday,47,medium,0,0.1653,medium
SHIP-11743,Delhi Warehouse Central,Ujjain Hub,908.28,441,expressway,Partly Cloudy,low,standard,438.23,9,Friday,16,low,0,0.5445,low
SHIP-11744,Indore Delivery Hub,Bhopal Central Hub,914.66,606,highway,Light Rain,high,express,240.37,19,Wednesday,61,high,0,0.2809,high
SHIP-11745,Kota Transit Hub,Delhi Warehouse Central,120.49,75,expressway,Cloudy,low,express,154.66,14,Tuesday,16,low,0,0.5389,medium
SHIP-11746,Jaipur Warehouse,Jhansi Hub,977.11,1752,city_road,Partly Cloudy,high,critical,82.95,16,Sunday,40,medium,0,0.4382,high
SHIP-11747,Jaipur Warehouse,Jhansi Hub,481.12,617,city_road,Fog,low,standard,372.49,18,Saturday,61,high,0,0.2593,medium
SHIP-11748,Bhopal Central Hub,Ujjain Hub,380.26,193,expressway,Partly Cloudy,low,standard,298.52,10,Wednesday,14,low,0,0.2509,low
SHIP-11749,Jaipur Warehouse,Kota Transit Hub,845.16,545,expressway,Partly Cloudy,high,standard,47.08,19,Thursday,27,medium,0,0.2243,low
SHIP-11750,Ujjain Hub,Jhansi Hub,757.61,459,highway,Heavy Rain,moderate,express,296.23,15,Friday,84,high,0,0.3443,critical
SHIP-11751,Ujjain Hub,Agra Transit Hub,63.19,96,city_road,Clear,very_high,standard,80.57,3,Wednesday,55,high,1,0.525,high
SHIP-11752,Indore Delivery Hub,Jaipur Warehouse,894.34,616,highway,Clear,low,standard,490.88,6,Friday,10,low,0,0.4271,low
SHIP-11753,Ujjain Hub,Jhansi Hub,272.34,185,expressway,Cloudy,moderate,standard,130.59,10,Tuesday,28,medium,0,0.1435,low
SHIP-11754,Indore Delivery Hub,Bhopal Central Hub,760.18,744,state_road,Clear,high,standard,348.31,19,Saturday,43,medium,0,0.1608,medium
SHIP-11755,Indore Delivery Hub,Ujjain Hub,164.03,138,state_road,Fog,low,standard,328.37,23,Thursday,64,high,0,0.2759,high
SHIP-11756,Delhi Warehouse Central,Kota Transit Hub,168.08,198,state_road,Cloudy,low,standard,345.98,16,Tuesday,13,low,0,0.1872,low
SHIP-11757,Bhopal Central Hub,Kota Transit Hub,606.47,333,expressway,Cloudy,low,express,215.57,18,Wednesday,15,medium,0,0.271,low
SHIP-11758,Jhansi Hub,Gwalior Transit Hub,606.67,417,highway,Clear,very_high,standard,38.09,9,Wednesday,45,medium,0,0.1508,medium
SHIP-11759,Agra Transit Hub,Bhopal Central Hub,828.66,1422,city_road,Partly Cloudy,high,standard,490.02,14,Sunday,46,medium,0,0.1511,medium
SHIP-11760,Indore Delivery Hub,Agra Transit Hub,309.8,189,expressway,Light Rain,moderate,standard,96.57,5,Monday,36,high,0,0.1349,medium
SHIP-11761,Gwalior Transit Hub,Bhopal Central Hub,310.54,347,state_road,Cloudy,low,standard,385.09,12,Tuesday,17,low,0,0.5187,low
SHIP-11762,Jhansi Hub,Bhopal Central Hub,205.37,157,highway,Rain,low,standard,69.65,2,Thursday,41,high,0,0.2933,medium
SHIP-11763,Kota Transit Hub,Delhi Warehouse Central,660.35,847,city_road,Partly Cloudy,moderate,express,141.32,7,Saturday,21,low,1,0.1738,medium
SHIP-11764,Ujjain Hub,Kota Transit Hub,978.88,1621,city_road,Light Rain,very_high,critical,280.38,6,Friday,88,medium,0,0.2649,high
SHIP-11765,Agra Transit Hub,Ujjain Hub,346.81,193,expressway,Partly Cloudy,high,standard,207.32,4,Monday,32,high,0,0.4759,high
SHIP-11766,Gwalior Transit Hub,Indore Delivery Hub,581.66,396,expressway,Cloudy,moderate,express,479.17,17,Thursday,25,medium,1,0.0865,medium
SHIP-11767,Jhansi Hub,Ujjain Hub,852.83,1033,city_road,Light Rain,moderate,standard,423.99,20,Saturday,27,medium,0,0.0522,medium
SHIP-11768,Delhi Warehouse Central,Jhansi Hub,830.99,1379,city_road,Clear,very_high,standard,460.97,15,Tuesday,63,medium,0,0.4777,high
SHIP-11769,Kota Transit Hub,Agra Transit Hub,869.84,870,state_road,Cloudy,moderate,standard,320.71,8,Friday,18,medium,0,0.3828,medium
SHIP-11770,Agra Transit Hub,Jaipur Warehouse,126.95,212,city_road,Clear,very_high,standard,110.24,10,Thursday,64,medium,0,0.2861,medium
SHIP-11771,Bhopal Central Hub,Jaipur Warehouse,131.02,78,expressway,Cloudy,low,critical,259.73,20,Monday,18,medium,0,0.4895,medium
SHIP-11772,Delhi Warehouse Central,Indore Delivery Hub,89.86,54,highway,Light Rain,high,express,383.0,18,Saturday,53,high,1,0.2407,high
SHIP-11773,Gwalior Transit Hub,Jhansi Hub,269.27,266,state_road,Clear,moderate,critical,33.29,13,Saturday,22,low,0,0.2601,medium
SHIP-11774,Agra Transit Hub,Indore Delivery Hub,113.07,132,state_road,Thunderstorm,high,critical,431.7,6,Friday,94,critical,0,0.1011,critical
SHIP-11775,Delhi Warehouse Central,Indore Delivery Hub,974.56,1220,city_road,Cloudy,moderate,standard,316.04,11,Tuesday,27,medium,0,0.619,medium
SHIP-11776,Kota Transit Hub,Jhansi Hub,352.96,213,highway,Thunderstorm,low,standard,362.06,18,Friday,111,high,0,0.1714,high
SHIP-11777,Bhopal Central Hub,Indore Delivery Hub,415.84,431,state_road,Clear,low,standard,347.45,7,Tuesday,8,low,0,0.1161,low
SHIP-11778,Delhi Warehouse Central,Bhopal Central Hub,694.08,428,expressway,Thunderstorm,very_high,standard,424.03,20,Wednesday,172,critical,0,0.1319,critical
SHIP-11779,Jaipur Warehouse,Indore Delivery Hub,462.82,725,city_road,Clear,low,standard,44.67,4,Wednesday,11,medium,0,0.4471,low
SHIP-11780,Bhopal Central Hub,Kota Transit Hub,820.74,506,expressway,Cloudy,very_high,express,189.14,5,Tuesday,68,high,0,0.0738,critical
SHIP-11781,Gwalior Transit Hub,Jaipur Warehouse,624.13,804,city_road,Thunderstorm,high,express,251.81,10,Thursday,149,critical,1,0.4406,critical
SHIP-11782,Kota Transit Hub,Agra Transit Hub,870.72,823,state_road,Clear,moderate,standard,273.75,21,Monday,17,medium,0,0.0756,low
SHIP-11783,Ujjain Hub,Gwalior Transit Hub,289.65,447,city_road,Clear,very_high,standard,471.34,2,Wednesday,54,high,1,0.0257,high
SHIP-11784,Ujjain Hub,Gwalior Transit Hub,531.26,406,highway,Rain,high,standard,22.19,10,Thursday,70,high,0,0.4258,high
SHIP-11785,Ujjain Hub,Gwalior Transit Hub,436.49,258,expressway,Cloudy,moderate,standard,433.33,22,Friday,30,high,0,0.2585,medium
SHIP-11786,Agra Transit Hub,Bhopal Central Hub,520.38,407,highway,Cloudy,low,critical,276.4,11,Sunday,13,low,0,0.2961,medium
SHIP-11787,Gwalior Transit Hub,Jaipur Warehouse,356.04,203,expressway,Clear,high,standard,277.76,0,Wednesday,33,high,0,0.1119,medium
SHIP-11788,Kota Transit Hub,Gwalior Transit Hub,705.15,494,expressway,Light Rain,high,standard,160.84,3,Sunday,55,high,1,0.4052,high
SHIP-11789,Bhopal Central Hub,Ujjain Hub,128.49,183,city_road,Clear,high,critical,322.17,19,Saturday,28,medium,0,0.465,medium
SHIP-11790,Agra Transit Hub,Jaipur Warehouse,272.78,305,state_road,Thunderstorm,high,standard,323.56,0,Saturday,122,critical,0,0.2402,critical
SHIP-11791,Gwalior Transit Hub,Kota Transit Hub,652.61,594,state_road,Light Rain,low,standard,95.46,5,Thursday,21,medium,0,0.1373,low
SHIP-11792,Jaipur Warehouse,Indore Delivery Hub,378.46,291,highway,Light Rain,high,standard,338.83,1,Monday,54,high,0,0.194,high
SHIP-11793,Kota Transit Hub,Ujjain Hub,850.06,1497,city_road,Clear,low,standard,134.09,12,Saturday,11,low,0,0.099,low
SHIP-11794,Ujjain Hub,Jaipur Warehouse,820.7,839,state_road,Heavy Rain,low,critical,344.7,15,Friday,46,high,0,0.174,high
SHIP-11795,Delhi Warehouse Central,Kota Transit Hub,123.98,73,expressway,Cloudy,low,standard,306.36,10,Wednesday,11,low,0,0.4392,low
SHIP-11796,Kota Transit Hub,Jaipur Warehouse,183.43,93,expressway,Heavy Rain,low,standard,358.26,13,Saturday,47,high,1,0.6253,high
SHIP-11797,Indore Delivery Hub,Jhansi Hub,569.74,747,city_road,Partly Cloudy,moderate,standard,10.83,5,Wednesday,16,medium,0,0.5349,medium
SHIP-11798,Gwalior Transit Hub,Jhansi Hub,846.73,688,highway,Rain,low,standard,63.56,15,Monday,36,medium,1,0.1572,medium
SHIP-11799,Jhansi Hub,Bhopal Central Hub,638.62,834,city_road,Cloudy,low,standard,420.26,16,Tuesday,15,low,0,0.1751,low
SHIP-11800,Jaipur Warehouse,Agra Transit Hub,401.98,309,highway,Clear,low,express,190.98,9,Saturday,12,low,0,0.479,low
SHIP-11801,Kota Transit Hub,Agra Transit Hub,343.74,531,city_road,Partly Cloudy,high,standard,418.52,20,Wednesday,27,medium,0,0.2513,low
SHIP-11802,Jhansi Hub,Jaipur Warehouse,804.01,406,expressway,Clear,moderate,express,32.27,21,Tuesday,15,medium,0,0.2023,low
SHIP-11803,Indore Delivery Hub,Jhansi Hub,732.06,1032,city_road,Partly Cloudy,moderate,standard,384.92,12,Monday,19,low,0,0.3519,low
SHIP-11804,Bhopal Central Hub,Gwalior Transit Hub,492.48,402,state_road,Partly Cloudy,high,standard,42.8,12,Saturday,34,medium,0,0.2144,medium
SHIP-11805,Delhi Warehouse Central,Jaipur Warehouse,610.7,584,state_road,Cloudy,moderate,express,234.69,1,Sunday,20,high,0,0.1639,medium
SHIP-11806,Jhansi Hub,Delhi Warehouse Central,946.22,1210,city_road,Light Rain,moderate,standard,468.85,0,Monday,31,high,0,0.3185,high
SHIP-11807,Gwalior Transit Hub,Jhansi Hub,689.71,484,highway,Cloudy,very_high,standard,39.76,22,Saturday,72,high,0,0.1622,high
SHIP-11808,Ujjain Hub,Indore Delivery Hub,478.62,361,highway,Clear,low,standard,175.98,0,Sunday,11,medium,0,0.0777,low
SHIP-11809,Indore Delivery Hub,Jhansi Hub,486.93,281,expressway,Rain,moderate,standard,259.66,6,Sunday,42,high,0,0.3055,high
